round,cid,n_k,rank,seed,lr,steps,applied,skipped,nonfinite,sec,vram_gb,loss,gnorm
24,14,3063594,0,42240308,0.0005525313978243026,5984,5982,2,0,35.7433011359999,6.821379661560059,0.03764623337786798,0.4176186192039661
24,15,1212957,1,42240309,0.0005525313978243026,2370,2367,3,0,14.279938222000055,6.738023281097412,0.1134690356043053,1.2261401274358366
24,16,870217,1,42240310,0.0005525313978243026,1700,1698,2,0,9.359178909000548,6.7225871086120605,0.09689573685608989,0.8987431071251104
24,17,5890990,0,42240311,0.0005525313978243026,11506,11501,5,0,65.0896121299993,6.948785305023193,0.05335707051289018,0.5822884457058082
24,18,1063458,1,42240312,0.0005525313978243026,2078,2077,1,0,12.508310199000334,6.731289863586426,0.0904797998023366,0.7045118527511134
24,19,1173148,0,42240313,0.0005525313978243026,2292,2291,1,0,13.769952205999289,6.736230373382568,0.08352881589345879,0.7327641087918758
25,0,3352748,1,42250301,0.0005208655308979695,6549,6546,3,0,37.29247846599992,6.83604621887207,0.09435692964035766,0.9061619810762298
25,1,1783872,1,42250302,0.0005208655308979695,3485,3484,1,0,20.865213252999638,6.763737678527832,0.06890895418677347,0.677175528420099
25,2,2652819,1,42250303,0.0005208655308979695,5182,5179,3,0,30.915426371999274,6.8028788566589355,0.05287388729574966,0.6210379827940964
25,3,1455566,1,42250304,0.0005208655308979695,2843,2841,2,0,17.220028811999327,6.748951435089111,0.10895753972591628,0.9459176525101197
25,4,1864534,1,42250305,0.0005208655308979695,3642,3639,3,0,22.419482371999948,6.7673726081848145,0.14267092728621358,1.1518140071104699
25,5,1932238,0,42250306,0.0005208655308979695,3774,3771,3,0,23.535469686000397,6.770422458648682,0.09641643191357564,1.0234700002900425
25,6,3372587,1,42250307,0.0005208655308979695,6588,6585,3,0,37.91492043400012,6.836348533630371,0.07843387403900912,0.8009873884776006
25,7,1472203,0,42250308,0.0005208655308979695,2876,2874,2,0,17.54201597700012,6.749701023101807,0.1717413767560456,1.2219091321166058
25,8,2845626,1,42250309,0.0005208655308979695,5558,5555,3,0,31.71126240600006,6.811844348907471,0.08713792033500226,0.8350843482785778
25,9,1240841,0,42250310,0.0005208655308979695,2424,2421,3,0,14.30557394799962,6.739888668060303,0.0945674009137979,0.9030586252129802
